,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
41,BO: La Paz-Cairoma,-16.9,-67.55,-16.9,-67.55,2045
42,BO: La Paz-Inquisivi,-16.95777777777778,-67.1563888888889,-16.95777777777778,-67.1563888888889,2045
43,BO: La Paz-San Antonio,-15.324444444444444,-67.52194444444444,-15.324444444444444,-67.52194444444444,2310
44,BO: La Paz-Santa Fe,-13.804444444444446,-67.82583333333334,-13.804444444444446,-67.82583333333334,14919
45,BO: La Paz-Taipiplaya,-15.833333333333334,-67.6,-15.833333333333334,-67.6,9938
46,BO: Oruro-Oruro,-17.983333333333334,-67.15,-17.983333333333334,-67.15,2498
47,BO: Oruro-Antequera,-18.477777777777778,-66.8436111111111,-18.477777777777778,-66.8436111111111,5447
48,BO: Pando-Cobija,-11.026666666666667,-68.76916666666666,-11.026666666666667,-68.76916666666666,701
49,BO: Pando-Santa Lucia,-11.08361111111111,-67.89555555555556,-11.08361111111111,-67.89555555555556,671
50,BO: Potosi-Potosi,-19.58361111111111,-65.75305555555556,-19.58361111111111,-65.75305555555556,5487
51,BO: Potosi-Llallagua,-18.424722222222222,-66.57777777777777,-18.424722222222222,-66.57777777777777,488
